x,y,event_type,timestamp
10.63,243.94,Damage,0.0
150.99,476.28,Death,0.5
337.88,602.45,Kill,1.0
240.06,83.23,Kill,1.5
244.04,899.17,Damage,2.0
498.53,309.17,Damage,2.5
817.84,996.88,Kill,3.0
340.97,154.89,Kill,3.5
936.7,536.07,Death,4.0
250.19,228.09,Death,4.5
158.86,898.36,Death,5.0
405.24,513.52,Kill,5.5
11.18,666.19,Death,6.0
345.21,926.79,Death,6.5
42.02,887.54,Damage,7.0
701.58,427.14,Death,7.5
171.01,731.85,Damage,8.0
768.15,957.9,Damage,8.5
898.98,360.15,Damage,9.0
337.92,612.55,Kill,9.5
168.31,656.3,Kill,10.0
134.94,533.41,Death,10.5
343.18,46.13,Kill,11.0
439.0,195.12,Damage,11.5
434.14,609.76,Death,12.0
76.41,913.01,Damage,12.5
284.08,830.82,Kill,13.0
116.19,638.05,Kill,13.5
472.44,549.9,Damage,14.0
408.18,603.4,Kill,14.5
570.01,296.23,Damage,15.0
53.65,65.43,Death,15.5
768.98,721.18,Damage,16.0
600.13,838.87,Death,16.5
956.92,211.97,Death,17.0
707.54,326.4,Damage,17.5
853.75,718.94,Death,18.0
867.28,665.53,Death,18.5
142.77,428.8,Death,19.0
182.58,175.29,Kill,19.5
748.17,544.69,Death,20.0
954.37,158.3,Kill,20.5
879.93,935.08,Damage,21.0
860.79,871.4,Kill,21.5
521.58,955.01,Death,22.0
64.16,524.79,Kill,22.5
366.53,841.82,Damage,23.0
433.91,704.07,Damage,23.5
430.04,338.54,Death,24.0
400.46,160.0,Death,24.5
28.03,612.21,Death,25.0
650.59,933.43,Damage,25.5
911.23,475.44,Death,26.0
92.03,494.81,Damage,26.5
14.05,773.15,Damage,27.0
520.93,716.79,Death,27.5
563.82,383.89,Death,28.0
1016.53,861.81,Damage,28.5
833.93,576.3,Kill,29.0
91.89,741.87,Kill,29.5
820.52,730.63,Damage,30.0
573.19,664.87,Death,30.5
161.66,565.49,Death,31.0
714.3,952.55,Kill,31.5
739.48,428.28,Damage,32.0
221.88,433.96,Damage,32.5
804.72,60.96,Death,33.0
794.89,501.75,Damage,33.5
910.63,620.91,Kill,34.0
287.3,961.53,Damage,34.5
769.76,313.52,Death,35.0
715.73,18.64,Death,35.5
801.97,624.55,Death,36.0
816.2,829.62,Death,36.5
941.11,792.37,Damage,37.0
102.14,488.96,Damage,37.5
320.21,875.97,Death,38.0
256.57,587.13,Death,38.5
837.47,652.32,Death,39.0
993.48,81.55,Kill,39.5
256.41,770.28,Damage,40.0
166.53,155.36,Death,40.5
80.47,448.39,Kill,41.0
257.35,665.59,Damage,41.5
303.74,504.78,Kill,42.0
493.09,23.14,Death,42.5
906.94,205.32,Kill,43.0
410.45,375.45,Death,43.5
919.02,384.62,Kill,44.0
652.38,480.38,Kill,44.5
1020.0,9.42,Damage,45.0
329.03,839.0,Death,45.5
768.16,177.76,Damage,46.0
205.82,149.15,Damage,46.5
25.44,386.82,Kill,47.0
671.03,300.25,Kill,47.5
134.37,833.28,Kill,48.0
462.96,461.53,Damage,48.5
413.94,383.48,Kill,49.0
881.22,212.19,Kill,49.5
187.6,486.47,Death,50.0
824.11,809.66,Death,50.5
733.46,247.37,Kill,51.0
9.27,1010.83,Death,51.5
324.74,370.11,Death,52.0
874.5,1014.54,Damage,52.5
39.71,764.79,Damage,53.0
998.42,336.87,Kill,53.5
736.75,537.79,Death,54.0
221.24,20.62,Damage,54.5
563.54,239.97,Damage,55.0
708.08,517.61,Damage,55.5
410.75,837.36,Kill,56.0
343.01,546.76,Death,56.5
374.93,773.85,Kill,57.0
912.13,509.58,Damage,57.5
418.25,962.2,Death,58.0
774.2,924.21,Death,58.5
486.14,656.56,Kill,59.0
202.87,149.44,Damage,59.5
872.71,608.48,Damage,60.0
742.66,180.86,Damage,60.5
777.21,391.3,Damage,61.0
492.17,946.82,Death,61.5
278.36,379.17,Damage,62.0
1016.98,146.02,Death,62.5
149.2,799.45,Damage,63.0
165.59,443.88,Death,63.5
848.56,1010.98,Damage,64.0
211.22,224.77,Damage,64.5
360.6,537.81,Kill,65.0
256.05,87.44,Damage,65.5
330.58,10.39,Death,66.0
871.31,682.46,Death,66.5
126.7,673.15,Kill,67.0
377.44,553.39,Kill,67.5
493.53,4.22,Death,68.0
732.27,179.29,Death,68.5
759.56,227.35,Death,69.0
370.08,347.16,Kill,69.5
140.67,271.82,Damage,70.0
511.46,857.33,Damage,70.5
939.11,1019.28,Damage,71.0
683.53,466.58,Death,71.5
325.82,542.86,Death,72.0
770.58,482.22,Death,72.5
114.44,99.51,Death,73.0
616.53,968.14,Death,73.5
188.95,873.67,Damage,74.0
345.75,333.05,Kill,74.5
202.18,888.91,Death,75.0
427.91,294.1,Damage,75.5
634.29,92.37,Damage,76.0
984.39,584.54,Damage,76.5
606.03,972.34,Kill,77.0
658.91,66.49,Kill,77.5
515.55,940.22,Death,78.0
916.15,999.12,Damage,78.5
51.65,360.49,Death,79.0
325.54,184.66,Death,79.5
926.62,366.44,Damage,80.0
704.01,65.16,Death,80.5
794.48,555.91,Death,81.0
757.13,721.44,Damage,81.5
267.02,736.05,Damage,82.0
361.17,757.66,Damage,82.5
768.92,221.52,Kill,83.0
387.54,72.71,Death,83.5
439.91,889.87,Kill,84.0
261.69,379.01,Death,84.5
50.32,265.14,Kill,85.0
945.47,150.99,Damage,85.5
165.75,327.29,Death,86.0
66.05,278.44,Kill,86.5
393.47,149.54,Death,87.0
284.32,444.6,Kill,87.5
472.29,494.4,Death,88.0
407.29,367.19,Death,88.5
550.48,122.97,Damage,89.0
894.77,566.77,Death,89.5
655.62,650.07,Death,90.0
405.18,192.64,Damage,90.5
329.86,891.96,Death,91.0
1002.82,17.7,Death,91.5
161.62,213.58,Death,92.0
652.77,994.75,Kill,92.5
965.23,113.89,Kill,93.0
571.9,208.66,Kill,93.5
282.03,69.45,Kill,94.0
63.16,944.91,Kill,94.5
98.71,86.45,Death,95.0
41.21,875.01,Kill,95.5
853.46,419.78,Kill,96.0
8.2,399.73,Kill,96.5
109.98,80.3,Damage,97.0
864.64,855.49,Damage,97.5
65.07,191.15,Kill,98.0
555.41,592.15,Death,98.5
612.82,41.08,Damage,99.0
832.51,608.96,Death,99.5
724.44,755.84,Damage,100.0
249.21,222.88,Damage,100.5
692.7,714.72,Death,101.0
994.16,355.74,Damage,101.5
625.75,965.23,Damage,102.0
615.02,355.51,Kill,102.5
127.45,959.14,Kill,103.0
560.57,873.0,Death,103.5
1011.59,352.55,Death,104.0
350.74,797.51,Kill,104.5
962.75,733.9,Damage,105.0
334.53,279.0,Kill,105.5
16.74,229.17,Damage,106.0
242.13,1012.4,Kill,106.5
734.63,905.95,Death,107.0
241.24,737.05,Kill,107.5
378.95,365.63,Kill,108.0
57.54,473.35,Kill,108.5
559.98,110.83,Kill,109.0
264.78,904.57,Kill,109.5
361.36,204.04,Kill,110.0
628.05,601.08,Kill,110.5
201.2,979.32,Death,111.0
132.14,157.75,Damage,111.5
394.56,116.48,Kill,112.0
755.44,187.14,Kill,112.5
901.77,844.01,Kill,113.0
560.35,469.14,Death,113.5
727.88,514.55,Death,114.0
106.94,287.3,Kill,114.5
392.09,918.83,Death,115.0
817.16,237.62,Damage,115.5
559.51,375.96,Death,116.0
657.56,105.79,Kill,116.5
220.85,792.86,Death,117.0
165.58,652.33,Death,117.5
741.02,940.0,Damage,118.0
594.8,696.14,Death,118.5
554.23,1018.7,Damage,119.0
211.01,281.29,Damage,119.5
201.18,255.95,Death,120.0
888.21,709.55,Damage,120.5
427.19,110.12,Damage,121.0
283.23,265.0,Death,121.5
819.17,280.93,Death,122.0
511.84,916.21,Death,122.5
251.45,903.37,Damage,123.0
899.9,738.52,Death,123.5
38.08,115.49,Damage,124.0
611.08,34.74,Damage,124.5
17.13,829.99,Damage,125.0
691.61,720.35,Damage,125.5
673.21,601.7,Kill,126.0
266.44,533.64,Death,126.5
531.14,169.32,Kill,127.0
844.33,866.49,Kill,127.5
579.09,380.21,Kill,128.0
858.49,370.48,Damage,128.5
518.09,615.32,Kill,129.0
314.45,860.05,Death,129.5
776.58,740.44,Damage,130.0
808.24,339.84,Kill,130.5
689.75,932.22,Damage,131.0
695.63,689.21,Kill,131.5
420.09,887.41,Damage,132.0
28.29,149.81,Death,132.5
269.89,1009.01,Damage,133.0
1022.12,997.29,Death,133.5
962.18,485.88,Death,134.0
739.24,196.4,Kill,134.5
92.58,732.05,Death,135.0
66.61,969.12,Kill,135.5
113.62,462.35,Death,136.0
681.94,406.29,Death,136.5
824.66,121.35,Damage,137.0
907.61,850.69,Damage,137.5
384.14,500.23,Death,138.0
648.25,486.53,Death,138.5
491.97,598.68,Kill,139.0
720.18,970.87,Kill,139.5
456.69,202.51,Kill,140.0
82.04,662.27,Damage,140.5
700.59,192.76,Damage,141.0
55.36,389.08,Kill,141.5
963.21,413.19,Death,142.0
27.1,259.59,Damage,142.5
1007.23,221.76,Death,143.0
